RNA33_1	40	15	22
SSUA	150	7	8
RNA29	78	1	1
RNA33_1	40	16	271
RNA11_1	71	6	4
RNA33_1	40	17	34
SSUA	150	9	1
RNA33_1	40	18	5
SSUD	65	0	1857
SSUD	118	34	1
SSUD	65	1	50
SSUD	65	2	9
SSUD	65	3	40
RNA29	78	7	2
SSUD	65	4	70
SSUD	65	5	98
SSUD	65	6	59
SSUD	65	7	451
RNA28	67	0	1
RNA28	67	1	2
RNA16	55	30	3
RNA11_F	150	0	24
RNA11_F	150	1	183
RNA11_F	150	2	36
RNA11_F	150	3	1
RNA3	101	20	1
RNA33_F	97	4	1
RNA10_1	65	0	5
RNA10_1	65	1	2
RNA43	96	0	2
RNA10_1	65	2	1
RNA31_F	77	11	1
RNA11_F	150	7	1
RNA10_1	65	3	19
RNA31_F	77	12	481
RNA10_1	65	4	4
RNA31_F	77	13	2
RNA5_1	46	10	19
RNA10_1	65	5	1
RNA31_F	77	14	5
RNA31_F	77	15	1
RNA5_1	46	12	7
RNA5_1	46	13	2
RNA31_F	77	17	2
RNA5_1	46	14	8
RNA31_F	77	18	1
RNA23t_F	72	0	22
RNA8	123	0	47
RNA23t_F	72	1	8
RNA8	123	1	4
RNA42	85	0	3
RNA23t_F	72	2	75
RNA8	123	2	6
RNA23t_F	72	3	4
RNA8	123	3	4
RNA23t_F	72	4	5
RNA8	123	4	2
RNA8	123	5	2
RNA23t_F	72	6	3
RNA8	123	6	5
RNA23t_F	72	7	3
RNA43	89	18	3
RNA8	123	8	5
RNA23t_F	72	9	1
LSUB	105	79	1
RNA8	123	9	11
RNA31_F	63	0	75
RNA31_F	63	1	30
RNA31_F	63	2	1
RNA31_F	63	3	3
RNA40	76	0	1
RNA31_F	63	7	1
RNA11_1	74	0	1
RNA40	76	7	2
RNA31_1	58	19	1
RNA7	93	20	2
RNA11_1	74	6	1
RNA7	93	21	1
RNA15_F	42	0	21
RNA15_F	42	1	5
SSUD	68	0	5572
RNA15_F	42	2	2
SSUD	68	1	189
SSUD	68	2	35530
SSUD	68	3	167
SSUD	68	4	56
RNA15_F	42	5	1
SSUD	68	5	114
RNA15_F	42	6	2
SSUD	68	6	77
SSUD	68	7	25
SSUD	68	8	35
RNA15_F	42	9	2
SSUD	68	9	36
RNA5_F	114	31	1
RNA34_F	119	10	1
RNA32_F	72	1	1
RNA29	149	0	1
SSUD	118	46	1
SSUD	131	0	2
RNA34_F	119	15	2
RNA16	54	11	3
RNA16	54	12	5
RNA29	149	5	1
RNA10_1	68	0	4
SSUD	131	6	1
RNA43	99	0	2
RNA10_1	68	2	1
RNA29	62	0	86
RNA10_1	68	3	5
RNA29	62	1	23
RNA16	54	18	2
RNA10_1	68	4	12
RNA29	62	2	7
RNA43	99	3	1
RNA10_1	68	5	23
RNA29	62	3	6
RNA10_1	68	6	24
RNA29	62	4	11
RNA43	99	5	1
RNA10_1	68	7	1
RNA29	62	5	3
RNA43	99	6	1
RNA29	62	6	4
RNA13	85	15	1
RNA10_1	68	9	3
RNA29	62	7	4
RNA29	62	8	2
RNA8	126	0	11
RNA23t_F	75	0	2
RNA29	62	9	2
RNA8	126	1	1
RNA23t_F	75	1	2
RNA42	88	0	1
RNA28	51	0	25
RNA8	126	2	1
RNA42	88	1	2
RNA28	51	1	3
RNA8	126	3	5
RNA23t_F	75	3	3
RNA28	51	2	10
RNA23t_F	75	4	1
RNA8	126	5	1
RNA28	51	3	3
RNA42	88	4	2
RNA8	126	6	2
RNA23t_F	75	6	2
RNA28	51	5	5
RNA8	126	7	1
RNA14	45	10	15033
RNA28	51	6	1
RNA8	126	8	2
RNA14	45	11	283
RNA8	126	9	2
RNA14	45	12	84
RNA28	51	8	2
RNA31_F	66	0	1599
RNA14	45	13	39
RNA28	51	9	103
RNA31_F	66	1	5160
RNA14	45	14	170
RNA31_F	66	2	1
RNA29	130	2	1
RNA14	45	15	68
RNA31_F	66	3	69
RNA33_F	81	1	1
RNA14	45	16	39
RNA31_F	66	6	2
RNA40	79	0	2
RNA31_F	66	8	3
RNA43	80	0	4
RNA10_F	116	11	3
RNA10_F	116	12	2
SSUD	150	48	1
