RNA13	76	1
RNA13	8	1815
RNA13	9	1942
RNA1	4	705
RNA14	0	93512
RNA14	1	19605
RNA14	10	21788
RNA14	107	1
RNA14	11	43524
RNA14	112	1
RNA14	114	1
RNA14	115	19
RNA14	12	95284
RNA14	13	168617
RNA14	14	226143
RNA14	15	183090
RNA14	16	111706
RNA14	17	91261
RNA14	18	120144
RNA14	19	135785
RNA1	42	1
RNA14	2	8156
RNA14	20	79266
RNA14	21	33104
RNA14	22	12592
RNA14	23	5126
RNA14	24	2005
RNA14	25	867
RNA14	26	365
RNA14	27	165
RNA14	28	68
RNA14	29	26
RNA14	3	9308
RNA14	30	24
RNA14	31	12
RNA14	32	8
RNA14	33	6
RNA14	34	4
RNA14	35	7
RNA14	36	3
RNA14	37	7
RNA14	38	8
RNA14	39	6
RNA14	4	9076
RNA14	42	4
RNA14	43	2
RNA14	44	1
RNA14	45	4
RNA14	46	2
RNA14	47	1
RNA14	48	2
RNA14	5	9557
RNA14	50	4
RNA14	51	1
RNA14	52	1
RNA14	53	2
RNA14	54	4
RNA14	55	1
RNA14	57	1
RNA14	6	10581
RNA14	64	2
RNA14	65	1
RNA14	69	1
RNA14	7	8486
RNA14	76	1
RNA14	8	9571
RNA14	81	1
RNA14	82	1
RNA14	9	12019
RNA14	96	1
RNA14	97	1
RNA1	5	348
RNA15_1	0	65996
RNA15_1	1	291174
RNA15_1	10	59442
RNA15_1	102	1
RNA15_1	11	19073
RNA15_1	12	13033
RNA15_1	123	4
RNA15_1	13	9735
RNA15_1	14	5999
RNA15_1	15	3837
RNA15_1	16	2244
RNA15_1	17	1341
RNA15_1	18	828
RNA15_1	19	467
RNA15_1	2	2350690
RNA15_1	20	321
RNA15_1	21	178
RNA15_1	22	98
RNA15_1	23	65
RNA15_1	24	26
RNA15_1	25	20
RNA15_1	26	16
RNA15_1	27	8
RNA15_1	28	5
RNA15_1	29	3
RNA15_1	3	368677
RNA15_1	30	5
RNA15_1	31	2
RNA15_1	32	2
RNA15_1	4	135372
RNA15_1	43	1
RNA15_1	5	102011
RNA15_1	58	1
RNA15_1	6	177291
RNA15_1	64	1
RNA15_1	7	86570
RNA15_1	73	1
RNA15_1	8	132059
RNA15_1	9	381159
RNA1	53	2
RNA15_F	0	527322
RNA15_F	1	28665
RNA15_F	10	707
RNA15_F	11	351
